countryName,indicator,value
Gibraltar,Forest area (% of land area),0
Monaco,Forest area (% of land area),0
Nauru,Forest area (% of land area),0
Qatar,Forest area (% of land area),0
South Sudan,GDP growth (annual %),-46.08212237
Tuvalu,GDP (current US$),37671774.69
Sri Lanka,"Government expenditure on education, total (% of GDP)",1.496170044
Ukraine,Income share held by highest 20%,35
Honduras,Income share held by lowest 20%,3
"Macao SAR, China","Industry (including construction), value added (% of GDP)",4.035006375
Kiribati,"Inflation, consumer prices (annual %)",-3.045862928
Lesotho,"Life expectancy at birth, total (years)",47.416
South Sudan,Access to electricity (% of population),3.137244701
Suriname,Agricultural land (% of land area),0.469230769
Singapore,"Agriculture, forestry, and fishing, value added (% of GDP)",0.033326961
Greenland,Arable land (% of land area),0.002192715
"Congo, Dem. Rep.",CO2 emissions (metric tons per capita),0.035206804
South Sudan,Electric power consumption (kWh per capita),41.42916582
"Macao SAR, China","Fertility rate, total (births per woman)",1.161
Finland,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",0
Andorra,Population growth (annual %),-1.589923668
Nauru,"Population, total",10136
Belarus,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Switzerland,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Cyprus,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Czech Republic,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Germany,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Denmark,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Iceland,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Kazakhstan,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Luxembourg,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Russian Federation,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Slovenia,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Ukraine,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Afghanistan,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Albania,"Prevalence of HIV, total (% of population ages 15-49)",0.1
United Arab Emirates,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Australia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Azerbaijan,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Comoros,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Germany,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Denmark,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Algeria,"Prevalence of HIV, total (% of population ages 15-49)",0.1
"Egypt, Arab Rep.","Prevalence of HIV, total (% of population ages 15-49)",0.1
Fiji,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Croatia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
"Iran, Islamic Rep.","Prevalence of HIV, total (% of population ages 15-49)",0.1
Iceland,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Jordan,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Japan,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Kyrgyz Republic,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Lebanon,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Libya,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Sri Lanka,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Morocco,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Madagascar,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Montenegro,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Mongolia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
New Zealand,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Pakistan,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Philippines,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Qatar,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Romania,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Saudi Arabia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Serbia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Slovenia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Timor-Leste,"Prevalence of HIV, total (% of population ages 15-49)",0.1
Tunisia,"Prevalence of HIV, total (% of population ages 15-49)",0.1
"Yemen, Rep.","Prevalence of HIV, total (% of population ages 15-49)",0.1
Australia,Prevalence of undernourishment (% of population),2.5
Austria,Prevalence of undernourishment (% of population),2.5
Azerbaijan,Prevalence of undernourishment (% of population),2.5
Belgium,Prevalence of undernourishment (% of population),2.5
Bosnia and Herzegovina,Prevalence of undernourishment (% of population),2.5
Belarus,Prevalence of undernourishment (% of population),2.5
Brunei Darussalam,Prevalence of undernourishment (% of population),2.5
Canada,Prevalence of undernourishment (% of population),2.5
Switzerland,Prevalence of undernourishment (% of population),2.5
China,Prevalence of undernourishment (% of population),2.5
Cuba,Prevalence of undernourishment (% of population),2.5
Czech Republic,Prevalence of undernourishment (% of population),2.5
Germany,Prevalence of undernourishment (% of population),2.5
Denmark,Prevalence of undernourishment (% of population),2.5
Spain,Prevalence of undernourishment (% of population),2.5
Estonia,Prevalence of undernourishment (% of population),2.5
Finland,Prevalence of undernourishment (% of population),2.5
France,Prevalence of undernourishment (% of population),2.5
United Kingdom,Prevalence of undernourishment (% of population),2.5
Greece,Prevalence of undernourishment (% of population),2.5
"Hong Kong SAR, China",Prevalence of undernourishment (% of population),2.5
Croatia,Prevalence of undernourishment (% of population),2.5
Hungary,Prevalence of undernourishment (% of population),2.5
Ireland,Prevalence of undernourishment (% of population),2.5
Iceland,Prevalence of undernourishment (% of population),2.5
Israel,Prevalence of undernourishment (% of population),2.5
Italy,Prevalence of undernourishment (% of population),2.5
Japan,Prevalence of undernourishment (% of population),2.5
"Korea, Rep.",Prevalence of undernourishment (% of population),2.5
Kuwait,Prevalence of undernourishment (% of population),2.5
Lithuania,Prevalence of undernourishment (% of population),2.5
Luxembourg,Prevalence of undernourishment (% of population),2.5
Latvia,Prevalence of undernourishment (% of population),2.5
Malta,Prevalence of undernourishment (% of population),2.5
Montenegro,Prevalence of undernourishment (% of population),2.5
Netherlands,Prevalence of undernourishment (% of population),2.5
Norway,Prevalence of undernourishment (% of population),2.5
New Zealand,Prevalence of undernourishment (% of population),2.5
Poland,Prevalence of undernourishment (% of population),2.5
Portugal,Prevalence of undernourishment (% of population),2.5
Romania,Prevalence of undernourishment (% of population),2.5
Russian Federation,Prevalence of undernourishment (% of population),2.5
Slovenia,Prevalence of undernourishment (% of population),2.5
Sweden,Prevalence of undernourishment (% of population),2.5
Turkey,Prevalence of undernourishment (% of population),2.5
Ukraine,Prevalence of undernourishment (% of population),2.5
Uruguay,Prevalence of undernourishment (% of population),2.5
United States,Prevalence of undernourishment (% of population),2.5
Uzbekistan,Prevalence of undernourishment (% of population),2.5
Tuvalu,Total greenhouse gas emissions (kt of CO2 equivalent),20
Burundi,Urban population (% of total population),11.194
Benin,"Literacy rate, adult female (% of females ages 15 and above)",22.0938797
Niger,"Literacy rate, adult male (% of males ages 15 and above)",39.05868912
Niger,"Literacy rate, adult total (% of people ages 15 and above)",30.56039047
San Marino,"Mortality rate, under-5 (per 1,000 live births)",2.4
"Micronesia, Fed. Sts.","Mortality caused by road traffic injury (per 100,000 population)",0
India,Net migration,-2350075
"Hong Kong SAR, China",Population ages 0-14 (% of total population),11.35059249
Niger,Population ages 15-64 (% of total population),47.21372774
Burundi,Urban population (% of total population),11.194
