year,splitAboveThreshold,splitBelowThreshold
1990,9,8
1975,5,1
1977,0,1
2003,8,4
2007,19,17
2018,29,47
2015,15,26
2006,19,10
1978,1,1
2013,12,23
1988,4,1
1997,2,1
1994,7,4
2014,22,32
1979,7,0
2019,5,20
2004,13,10
1991,16,7
1982,5,2
1996,4,5
1989,1,10
1998,5,1
2020,2,13
1985,2,4
1970,0,3
2012,24,21
1987,2,1
2009,15,19
2016,10,24
1995,2,3
1980,9,11
2001,11,19
1972,0,1
1992,6,3
1983,2,0
2005,13,9
1984,5,3
2000,28,17
2010,20,31
1981,14,3
1986,2,2
2011,19,40
1976,5,3
2008,17,17
2017,13,19
1999,4,4
2002,9,9
1993,3,1
